"Name","House","Expansion – #","Type","Rarity","Aerc Min","Aerc Max","Amber Control","Amber Control Max","Expected Amber","Expected Amber Max","Creature Protection","Creature Protection Max","Artifact Control","Artifact Control Max","Creature Control","Creature Control Max","Effective Power","Effective Power Max","Efficiency","Efficiency Max","Recursion","Recursion Max","Disruption","Disruption Max","Other","Other Max","Raw Amber","Power","Armor","Wins","Losses","SAS traits","Synergies","Traits","Text","Flavor Text"
"Optio Gorkus","Saurian","MASS_MUTATION – 226","Creature","Rare","1.4","2.4","0","1","0","","0","","0","","0","","10","","0","0","","","0","","0","","0","3","3","562","582","elusive – 3 – anyHouse","capturesAmber – 1 – anyHouse | exalt – 1 – anyHouse | bonusCapture – 1 – anyHouse","DINOSAUR | SOLDIER","Elusive.  Each of Optio Gorkus’s neighbors gains, “Destroyed: Move each A on this creature to a neighboring Optio Gorkus.”﻿﻿",""
"Patronage","Saurian","MASS_MUTATION – 227","Action","Rare","0","2.5","0","0.5","0","2","0","","0","","0","","0","","0","0","","","0","","0","","0","","","507","460","removesCapturedAmber – 2 – anyHouse","capturesAmber – 1 – anyHouse | exalt – 1 – anyHouse","","Play: Move half the A from a creature to your pool (rounding up). Move the remaining A from that creature to your opponent’s pool. ","“They aren’t paying me for accuracy.” – Pachykleitos"
"Saurus Rex","Saurian","WORLDS_COLLIDE – 227 | MASS_MUTATION – 228","Creature","Rare","2.25","3.25","-0.25","","0","","0","","0","","0","","6","","1.5","0","2.5","","0","","0","","0","6","","3098","2774","goodReap – 3 – house | goodFight – 3 – house | drawsCards – 3 – house | exalt – 2 – anyHouse | good – 2 – anyHouse","moves – 3 – anyHouse | causesReaping – 3 – house | protectsCreatures – 2 – anyHouse","DINOSAUR | LEADER","Fight/Reap: If Saurus Rex is in the center of your battleline, you may exalt it. If you do, search your deck for a Saurian card, reveal it, and put it into your hand. Shuffle your deck.﻿﻿",""
"Senator Bracchus","Saurian","WORLDS_COLLIDE – 229 | MASS_MUTATION – 231","Creature","Rare","0.8","3.3","0","","0","2.5","0","","0","","0","","4","","0","0","","","0","","0","","0","4","","3211","3087","exalt – 2 – anyHouse | removesCapturedAmber – 3 – anyHouse","protectsFromEffects – 1 – anyHouse | preventsFighting – 1 – anyHouse | exalt – 1 – anyHouse | capturesAmber – 1 – anyHouse","DINOSAUR | POLITICIAN","You may spend A on friendly creatures as if it were in your pool. Fight/Reap: Exalt Senator Bracchus.﻿﻿",""
"Spartasaur","Saurian","WORLDS_COLLIDE – 231","Creature","Rare","3.1","6.1000000000000005","0","","1","2","0","","0","","1.5","3","2","7","0","0","","","0","","0","","0","6","1","2837","2308","goodFight – 4 – anyHouse | destroys – 3 – anyHouse | boardClear – 2 – anyHouse | good – 4 – anyHouse","causesFighting – 3 – anyHouse | ward – 2 – anyHouse | any – -1 – anyHouse","SOLDIER | DINOSAUR","After a friendly creature is destroyed, destroy each non-Dinosaur creature. Fight: Gain 2A.",""
"Sow Salt","Saurian","WORLDS_COLLIDE – 230 | MASS_MUTATION – 232","Action","Rare","0.5","1","0.25","0.5","0.25","0.5","0","","0","","0","","0","","0","0","","","0","","0","","1","","","2303","2326","alpha – 3 – anyHouse","goodReap – -3 – house | causesReaping – -3 – house | alpha – -3 – house","","Alpha. Play: Until the start of your next turn, creatures cannot reap. ","“…and furthermore, Nova Hellas must be destroyed.” – Livia the Elder"
"Triumph","Saurian","WORLDS_COLLIDE – 234","Action","Rare","1","2","0","","1","2","0","","0","","0","","0","","0","0","","","0","","0","","1","","","2190","2133","forgesKeys – 3 – anyHouse","destroys – 2 – house | dealsDamage – 2 – house | highCreatureCount – 3 – anyHouse | lowCreatureCount – -3 – anyHouse","","Play: If there are no enemy creatures, exalt each friendly creature. If you do and there are 6 or more friendly creatures, forge a key at no cost.",""
"Charybdis","Saurian","DARK_TIDINGS – 132 | MASS_MUTATION – 234","Creature","FIXED","2.1","","0.5","","0","","0.5","","0","","0","","7","","0","0","","","0","","0","","0","7","","665","577","","","BEAST","Each enemy creatures gains, “Before Fight: Lose 1A.”","Exile to the Mesoterranean Sea is often considered a death sentence."
"Lyco-Saurus","Saurian","MASS_MUTATION – 235","Creature","Variant","1.6","","-0.25","","0","","0","","0","","0.75","","7","","0","0","","","0","","0","","0","5","","803","778","skirmish – 3 – anyHouse | goodFight – 2 – anyHouse | goodPlay – 2 – anyHouse | exalt – 2 – anyHouse | dealsDamage – 2 – anyHouse","","MUTANT | DINOSAUR","Skirmish. (When you use this creature to fight, it is dealt no damage in return.) Play: You may exalt Lyco-Saurus. If you do, deal 3D to a creature.﻿﻿",""
"Monument to Faust","Saurian","MASS_MUTATION – 236","Artifact","Variant","0.75","1.5","0.75","1.5","0","","0","","0","","0","","0","","0","0","","","0","","0","","0","","","768","806","usableArtifact – 3 – anyHouse","card – 3 – anyHouse","LOCATION","Action: Keys cost +1A during your opponent’s next turn. If Faust the Great is in your discard pile, keys cost +2A during your opponent’s next turn instead.﻿﻿",""
"Monument to Octavia","Saurian","MASS_MUTATION – 237","Artifact","Variant","0.75","1.5","0.75","1.5","0","","0","","0","","0","","0","","0","0","","","0","","0","","0","","","765","877","putsAmberOnTarget – 4 – anyHouse | usableArtifact – 3 – anyHouse | capturesAmber – 2 – anyHouse","removesCapturedAmber – 2 – anyHouse | card – 3 – anyHouse","LOCATION","Action: A friendly creature captures 1A. If Cornicen Octavia is in your discard pile, that creature captures 2A instead.﻿﻿",""
"Monument to Primus","Saurian","MASS_MUTATION – 238","Artifact","Variant","0.25","1.25","0.25","0.75","0","0.5","0","","0","","0","","0","","0","0","","","0","","0","","0","","","743","826","","card – 3 – anyHouse","LOCATION","Action: Move 1A from a friendly creature to another friendly creature. If Consul Primus is in your discard pile, move 1A from a creature to another creature instead.﻿﻿",""
"Monument to Shrix","Saurian","MASS_MUTATION – 239","Artifact","Variant","0.25","2.25","0","1","0","1","0","","0","","0","","0","","0","0","","","0","","0.25","","0","","","997","953","","card – 3 – anyHouse","LOCATION","You may spend A on Monument to Shrix as if it were in your pool. Action: Move 1A from your pool to Monument to Shrix. If Citizen Shrix is in your discard pile, move 1A from any player’s pool to Monument to Shrix instead.﻿﻿",""
"Sacro-Saurus","Saurian","MASS_MUTATION – 240","Creature","Variant","1.7999999999999998","","-0.25","","0","","0","","0","","0.75","","9","","0","0","","","0","","0","","0","6","2","853","770","exalt – 3 – anyHouse | dealsDamage – 3 – anyHouse | goodPlay – 2 – anyHouse","","MUTANT | DINOSAUR","Play: You may exalt Sacro-Saurus. If you do, deal 3D to a creature.﻿﻿",""
"Techno-Saurus","Saurian","MASS_MUTATION – 241","Creature","Variant","1.9","2.15","-0.25","","0","","0","","0","","0.75","","5","","0.5","0","0.75","","0","","0","","0","5","","850","767","exalt – 2 – anyHouse | dealsDamage – 2 – anyHouse | discardsCards – 2 – anyHouse | drawsCards – 2 – anyHouse | goodPlay – 2 – anyHouse","causesReaping – 3 – anyHouse","MUTANT | DINOSAUR","Play: You may exalt Techno-Saurus. If you do, deal 3D to a creature. Reap: Discard a card from your hand. If you do, draw a card.﻿﻿",""
"Umbra-Saurus","Saurian","MASS_MUTATION – 242","Creature","Variant","1.5","","-0.25","","0","","0","","0","","0.75","","6","","0","0","","","0","","0","","0","4","","832","801","elusive – 3 – anyHouse | dealsDamage – 2 – anyHouse | exalt – 2 – anyHouse | goodPlay – 2 – anyHouse","","MUTANT | DINOSAUR","Elusive. (The first time this creature is attacked each turn, no damage is dealt.) Play: You may exalt Umbra-Saurus. If you do, deal 3D to a creature.﻿﻿",""
"Xeno-Saurus","Saurian","MASS_MUTATION – 243","Creature","Variant","1.9","2.15","-0.25","","0","","0","","0","","0.75","","5","","0.5","0","0.75","","0","","0","","0","5","","916","834","goodFight – 2 – anyHouse | drawsCards – 2 – anyHouse | revealsTopDeck – 2 – anyHouse | exalt – 2 – anyHouse | dealsDamage – 2 – anyHouse","causesFighting – 3 – anyHouse","MUTANT | DINOSAUR","Play: You may exalt Xeno-Saurus. If you do, deal 3D to a creature. Fight: Look at the top 3 cards of your deck. Put 1 into your hand and 1 on the bottom of your deck.﻿﻿",""
"Deusillus","Saurian","MASS_MUTATION – 244","Creature","Rare","4.9","8.4","1.5","3.5","0","","0","","0","","1","2.5","20","","0","0","","","0","","0","","0","20","","1446","1302","capturesAmber – 3 – anyHouse | dealsDamage – 3 – anyHouse | scalingAmberControl – 2 – anyHouse | good – 4 – anyHouse","card – 3 – outOfHouse | causesReaping – 2 – anyHouse | card – 4 – anyHouse | archives – 1 – anyHouse","MUTANT","(Play only with the other half of Deusillus.) Play: Capture all of your opponent’s A. Deal 5D to an enemy creature.  Fight/Reap: Move 1A from Deusillus to the common supply. Deal 2D to each enemy creature.﻿﻿","Everyone comes to Hub City eventually."
"Captain No-Beard – Evil Twin","Shadows","DARK_TIDINGS – 184","Creature","EvilTwin","1.75","","0.5","","0","","0.25","","0","","0","","6","","0","0","","","0","","0","","0","6","","0","0","protectsCreatures – 3 – anyHouse | preventsFighting – 3 – anyHouse | goodDestroyed – 1 – anyHouse | capturesAmber – 2 – anyHouse","","THIEF | ELF","Taunt. (This creature’s neighbors cannot be attacked unless they have taunt.) Destroyed: Each of Captain No-Beard's neighbors captures 1.",""
"Freebooter Faye – Evil Twin","Shadows","DARK_TIDINGS – 185","Creature","EvilTwin","1.5499999999999998","2.05","0.75","1.25","0","","0","","0","","0","","4","","0","0","","","0","","0","","0","4","","0","0","stealsAmber – 2 – anyHouse | goodFight – 2 – anyHouse | raisesTide – 3 – anyHouse","causesFighting – 3 – anyHouse | raisesTide – 2 – anyHouse","THIEF | ELF"," Play: Raise the tide.  Before Fight: If the tide is high, steal 1.",""
"Hard Simpson – Evil Twin","Shadows","DARK_TIDINGS – 186","Creature","EvilTwin","1.5499999999999998","2.3","0.5","1","0.25","0.5","0","","0","","0","","4","","0","0","","","0","","0","","0","4","","0","0","goodReap – 2 – anyHouse | exalt – 2 – anyHouse","causesReaping – 2 – anyHouse","THIEF | ELF"," Reap: If the tide is high, a damaged creature captures 1 from its own side.",""
"Hobnobber – Evil Twin","Shadows","DARK_TIDINGS – 187","Creature","EvilTwin","1.2000000000000002","1.7000000000000002","0.25","0.5","0.25","0.5","0","","0","","0","","3","","0","0","","","0","","0","","0","3","","0","0","stealsAmber – 1 – continuous","capturesAmber – 2 – continuous | stealsAmber – 2 – continuous","THIEF | ELF","Omni: If your opponent has exactly 1, steal it.","“They’ll never miss him.”"
"Monty Bank – Evil Twin","Shadows","DARK_TIDINGS – 188","Creature","EvilTwin","0.5","3.5","0","1.5","0","1.5","0","","0","","0","","1","","0","0","","","0","","0","","0","1","","0","0","exalt – 2 – anyHouse | stealsAmber – 1 – anyHouse | dangerousRandomPlay – 1 – anyHouse","readies – 4 – house | protectsCreatures – 1 – anyHouse","THIEF | ELF","Elusive. Play: Exalt Monty Bank 2 times. Action: Steal 1 for each  on Monty Bank.",""
"One-Eyed Willa – Evil Twin","Shadows","DARK_TIDINGS – 189","Creature","EvilTwin","1.5","2","0.5","1","0","","0","","0","","0","","6","","0","0","","","0","","0","","0","2","","0","0","goodFight – 3 – anyHouse","causesFighting – 3 – anyHouse | raisesTide – 2 – anyHouse","THIEF | ELF","Elusive. Skirmish.  Fight: If the tide is high, your opponent loses 2.","“At last, my vision is complete.”"
"Sea Urchin – Evil Twin","Shadows","DARK_TIDINGS – 190","Creature","EvilTwin","3.75","5.25","2","2.5","2","2.5","0","","0","","0","","1","","-0.75","0","-0.25","","0","","0","","0","1","","0","0","stealsAmber – 3 – anyHouse | capturesAmber – 1 – anyHouse | good – 4 – anyHouse","raisesTide – 2 – anyHouse | replays – 4 – house | replays – 2 – outOfHouse","THIEF | AQUAN"," Play: Capture 2. If the tide is high, steal 2 instead.",""
"Archon's Revenge","Shadows","DARK_TIDINGS – 191","Artifact","Rare","0.5","1","0.5","1","0","","0","","0","","0","","0","","0","0","","","0","","0","","0","","","0","0","stealsAmber – 2 – anyHouse","highCreatureCount – 3 – house | lowCreatureCount – -3 – house | goodReap – -2 – house | goodFight – -2 – house | goodAction – -2 – house","SHIP","Action: Exhaust up to 2 friendly Shadows creatures. For each creature exhausted this way, steal 1.",""
"Captain No-Beard","Shadows","DARK_TIDINGS – 192","Creature","Rare","1.4500000000000002","","0.5","","0","","0.25","","0","","0","","3","","0","0","","","0","","0","","0","3","","0","0","protectsCreatures – 3 – anyHouse | preventsFighting – 3 – anyHouse | goodReap – 1 – anyHouse | capturesAmber – 1 – anyHouse","","THIEF | ELF","Each of Captain No-Beard’s neighbors gains taunt. Reap: Capture 1.",""
"Dead Man's Chest","Shadows","DARK_TIDINGS – 193","Artifact","Rare","0.75","2.25","0","","0.5","2","0","","0","","0.25","","0","","0","0","","","0","","0","","1","","","0","0","dealsDamage – 3 – anyHouse","boardClear – 3 – anyHouse","TREASURE","Play: Put 4 on Dead Man’s Chest from the common supply. Deal 2 to a creature. After 6 or more creatures are destroyed in a turn, if Dead Man’s Chest is ready, move each  from Dead Man’s Chest to the active player's pool.",""
"Early Birds","Shadows","DARK_TIDINGS – 195","Action","Rare","2.25","","0","","2","","0","","0","","0","","0","","0","0","","","0","","0.25","","2","","","0","0","","","","Alpha. Play: Ready each Shadows card.","“So you promised I was gonna get some worms…” "
"Easy Marks","Shadows","DARK_TIDINGS – 196","Action","Rare","0.25","2.25","0","","0.25","2.25","0","","0","","0","","0","","0","0","","","0","","0","","0","","","0","0","exalt – 2 – anyHouse","dealsDamage – 1 – house | damagesMultiple – 2 – house | damagesMultiple – 1 – outOfHouse","","Play: Exalt each damaged enemy creature.",""
"Finch Cloak","Shadows","WORLDS_COLLIDE – 267 | MASS_MUTATION – 278 | DARK_TIDINGS – 197","Creature","Rare","1.3","1.7999999999999998","0.25","0.5","0.25","0.5","0","","0","","0","","4","","0","0","","","0","","0","","0","4","","0","0","stealsAmber – 3 – anyHouse | goodReap – 3 – anyHouse","protectsCreatures – 2 – anyHouse | causesReaping – 2 – anyHouse","THIEF | ELF","Fight/Reap: If you have less  than your opponent, steal 1. Otherwise, each player gains 1.","Rob from the rich, steal from the poor."
"Finishing Blow","Shadows","CALL_OF_THE_ARCHONS – 269 | MASS_MUTATION – 279 | DARK_TIDINGS – 198","Action","Rare","2.5","4.25","0.5","1","1.5","2","0","","0","","0.5","1.25","0","","0","0","","","0","","0","","1","","","0","0","destroys – 3 – anyHouse | stealsAmber – 3 – anyHouse | good – 3 – anyHouse","damagesMultiple – 3 – anyHouse | dealsDamage – 2 – anyHouse","","Play: Destroy a damaged creature. If you do, steal 1.","You’ll never see it coming."
"Mastermindy","Shadows","MASS_MUTATION – 285 | DARK_TIDINGS – 200","Creature","Rare","2.55","3.55","1.25","2","0.5","0.75","0","","0","","0","","4","","0","0","","","0","","0","","0","2","","0","0","goodAction – 3 – anyHouse | elusive – 3 – anyHouse | stealsAmber – 2 – anyHouse | stealsAmber – 4 – anyHouse | good – 3 – anyHouse","protectsCreatures – 2 – anyHouse","THIEF | ELF","Elusive. At the end of your turn, put a scheme counter on Mastermindy. Action: Remove each scheme counter from Mastermindy. Steal 1 for each scheme counter removed this way.",""
"Masterplan","Shadows","CALL_OF_THE_ARCHONS – 288 | MASS_MUTATION – 286 | DARK_TIDINGS – 201","Artifact","Rare","2.5","","0","","1","","0","","0","","0","","0","","1.5","0","","","0","","0","","1","","","0","0","usableArtifact – 3 – anyHouse | playsFromOtherHouse – 4 – continuous | good – 2 – anyHouse","","ITEM","Play: Put a card from your hand facedown under Masterplan. Omni: Play the card under Masterplan. Destroy Masterplan.",""
"Mole","Shadows","MASS_MUTATION – 287 | DARK_TIDINGS – 202","Upgrade","Rare","1.5","2","0","","1","","0","","0","","0","","0","","0","0","","","0","","0.5","1","1","","","0","0","","putsAmberOnTarget – 3 – anyHouse","","This creature gains, ""Your opponent may spend  on this creature as if it were in their pool.""","Day 127: They still haven’t realized I’m not one of them."
"Ransom","Shadows","DARK_TIDINGS – 203","Upgrade","Rare","0.75","","0","","0","","0","","0","","0.75","","0","","0","0","","","0","","0","","0","","","0","0","","","","This creature cannot be used and gains, ""At the start of your turn, you may give your opponent 2. If you do, destroy Ransom.""",""
"Scowly Caper","Shadows","WORLDS_COLLIDE – 279 | AGE_OF_ASCENSION – 313 | DARK_TIDINGS – 206","Creature","Rare","0.5","","-1","","0","","0","","0","","1.5","","-4","","0","0","","","0","","0","","0","2","","0","0","","","ELF  | THIEF","Skirmish. Scowly Caper enters play under your opponent’s control and can be used as if it belonged to any house. At the end of your turn, destroy 1 of Scowly Caper’s neighbors.",""
"Smiling Ruth","Shadows","CALL_OF_THE_ARCHONS – 312 | MASS_MUTATION – 293 | DARK_TIDINGS – 207","Creature","Rare","0.8500000000000001","1.1","0","","0","","0","","0","","0.25","0.5","2","","0","0","","","0","","0","","0","1","","0","0","elusive – 3 – anyHouse | controls – 1 – anyHouse | goodReap – 1 – anyHouse","causesReaping – 3 – anyHouse","THIEF | ELF","Elusive. (The first time this creature is attacked each turn, no damage is dealt.) Reap: If you forged a key this turn, take control of an enemy flank creature.",""
"Submersible","Shadows","DARK_TIDINGS – 208","Artifact","Rare","1.25","","0","","1","","0.25","","0","","0","","0","","0","0","","","0","","0","","1","","","0","0","elusive – 3 – anyHouse","any – 1 – anyHouse | raisesTide – 2 – anyHouse","SHIP"," While the tide is high, each friendly Thief creature gains elusive.",""
"Widespread Corruption","Shadows","DARK_TIDINGS – 210","Artifact","Rare","1","1.5","2","","-1","-0.5","0","","0","","0","","0","","0","0","","","0","","0","","1","","","0","0","capturesAmber – 3 – anyHouse | exalt – 3 – anyHouse | putsAmberOnTarget – 4 – anyHouse","removesCapturedAmber – 3 – anyHouse | goodReap – -2 – anyHouse","POWER","After a player gains  by reaping, a creature they do not control captures that .","“Skim a little off the top, a little off the middle...”"
"Blatant Thievery","Shadows","DARK_TIDINGS – 211","Action","Uncommon","1.5","1.75","0","","1.25","1.5","0","","0","","0.25","","0","","0","0","","","0","","0","","1","","","0","0","","exalt – 3 – anyHouse","","Play: Enrage an enemy creature. Move all  from that creature to your pool.","“This is clearly beyond the scope of our all-you-can-eat policy!”"
"Booby Trap","Shadows","CALL_OF_THE_ARCHONS – 268 | MASS_MUTATION – 262 | DARK_TIDINGS – 212","Action","Uncommon","1.75","2.25","0","","1","","0","","0","","0.75","1.25","0","","0","0","","","0","","0","","1","","","0","0","damagesMultiple – 3 – anyHouse | dealsDamage – 3 – anyHouse","destroys – -3 – anyHouse","","Play: Deal 4 to a creature that is not on a flank, with 2 splash.",""
"Brend the Fanatic","Shadows","WORLDS_COLLIDE – 251 | AGE_OF_ASCENSION – 284 | DARK_TIDINGS – 214","Creature","Uncommon","1.7999999999999998","4.800000000000001","0.25","1.5","0.75","2.5","0","","0","","0","","4","","0","0","","","0","","0","","0","3","","0","0","skirmish – 3 – anyHouse | goodDestroyed – 3 – anyHouse | stealsAmber – 3 – anyHouse | good – 3 – anyHouse","returns_R_FromDiscard – 3 – anyHouse | destroys – 3 – anyHouse | dealsDamage – 2 – anyHouse","THIEF | ELF","Skirmish. Play: Your opponent gains 1. Destroyed: Steal 3.","“Here, hold this.”"
"Freebooter Faye","Shadows","DARK_TIDINGS – 215","Creature","Uncommon","2.3","3.3","0.75","1.25","0.75","1.25","0","","0","","0","","4","","0","0","","","0","","0","","0","4","","0","0","raisesTide – 3 – anyHouse | stealsAmber – 2 – anyHouse | goodReap – 3 – anyHouse | good – 2 – anyHouse","raisesTide – 2 – anyHouse | causesReaping – 3 – anyHouse","THIEF | ELF"," Play: Raise the tide.  Reap: If the tide is high, steal 1.",""
"Hand Cannon","Shadows","DARK_TIDINGS – 216","Upgrade","Uncommon","1.5","1.75","0","","1.25","","0","","0","","0.25","0.5","0","","0","0","","","0","","0","","1","","","0","0","skirmish – 3 – anyHouse","goodFight – 3 – anyHouse","","This creature gains skirmish and, ""Fight: Move 1 from the creature this creature fights to your pool.""",""
"Little Niff","Shadows","AGE_OF_ASCENSION – 289 | DARK_TIDINGS – 217","Creature","Uncommon","0.8","2.8","0","1","0","1","0","","0","","0","","4","","0","0","","","0","","0","","0","2","","0","0","elusive – 3 – anyHouse | goodFight – 3 – anyHouse | stealsAmber – 3 – anyHouse | deploy – 3 – anyHouse | omega – 3 – anyHouse","causesFighting – 3 – anyHouse | protectsCreatures – 2 – anyHouse | omega – -3 – house","THIEF | ELF","Omega. Deploy. Elusive. After a neighbor of Little Niff fights, steal 1.",""
"Miasma Bomb","Shadows","MASS_MUTATION – 269 | DARK_TIDINGS – 218","Artifact","Uncommon","1.25","2.75","1","2.5","0","","0","","0","","0.25","","0","","0","0","","","0","","0","","0","","","0","0","","scalingAmberControl – 4 – outOfHouse | scalingAmberControl – 2 – house","WEAPON","Enhance . (These icons have already been added to cards in your deck.) Action: Destroy Miasma Bomb. Your opponent skips the ""forge a key"" step during their next turn.",""
"Monty Bank","Shadows","DARK_TIDINGS – 219","Creature","Uncommon","0.5","3.5","0","1.5","0","1.5","0","","0","","0","","1","","0","0","","","0","","0","","0","1","","0","0","exalt – 1 – anyHouse | stealsAmber – 2 – anyHouse | goodAction – 3 – anyHouse","protectsCreatures – 1 – anyHouse | putsAmberOnTarget – 2 – anyHouse | readies – 3 – house","THIEF | ELF","Play: You may exalt Monty Bank up to 2 times. Action: Steal 1 for each  on Monty Bank.",""
"Old Bruno","Shadows","CALL_OF_THE_ARCHONS – 307 | MASS_MUTATION – 270 | DARK_TIDINGS – 220","Creature","Uncommon","2.4","2.65","1.5","1.75","0","","0","","0","","0","","5","","0","0","","","0","","0","","0","3","","0","0","capturesAmber – 4 – anyHouse | elusive – 3 – anyHouse | goodPlay – 3 – anyHouse | good – 2 – anyHouse","preventsRemoval – 3 – anyHouse","THIEF | ELF","Elusive. (The first time this creature is attacked each turn, no damage is dealt.) Play: Capture 3.","“I raise.”"
"Ransack","Shadows","MASS_MUTATION – 272 | DARK_TIDINGS – 221","Action","Uncommon","3","","1.5","","1.5","","0","","0","","0","","0","","0","0","","","0","","0","","0","","","0","0","stealsAmber – 3 – anyHouse | good – 3 – anyHouse","","","Play: Steal 1. Discard the top card of your deck. If that card is a Shadows card, trigger this effect again.",""
"Safe or Sorry","Shadows","DARK_TIDINGS – 222","Action","Uncommon","0.75","","0","","0","","0","","0","","0.75","","0","","0","0","","","0","","0","","0","","","0","0","replays – 3 – continuous | archives – 3 – anyHouse | dealsDamage – 2 – anyHouse","","","Play: Choose one: • Archive any number of friendly creatures from play. • Choose a creature. Deal 1 to it for each  your opponent has.",""
"Stir Up Trouble","Shadows","DARK_TIDINGS – 223","Action","Uncommon","1.5","","0","","0","","0","","0","","1.5","","0","","0","0","","","0","","0","","0","","","0","0","dealsDamage – 3 – anyHouse","","","Play: Choose a creature and 1 of its neighbors. Each chosen creature deals damage equal to its power to the other.",""
"The Flyin’ Specter","Shadows","DARK_TIDINGS – 224","Artifact","Uncommon","0.5","","0.25","","0.25","","0","","0","","0","","0","","0","0","","","0","","0","","0","","","0","0","stealsAmber – 1 – anyHouse","","SHIP"," After your opponent raises the tide, destroy The Flyin’ Specter.  Action: Steal 1 if the tide is high. ",""
"Trickle-Down Theory","Shadows","DARK_TIDINGS – 225","Artifact","Uncommon","1","3","0","","1","3","0","","0","","0","","0","","0","0","","","0","","0","","0","","","0","0","raisesTide – 3 – anyHouse","increasesKeyCost – 3 – continuous | capturesAmber – 1 – continuous | stealsAmber – 1 – continuous","POWER"," Play: Raise the tide. Omni: Gain 1 if your opponent has 6 or more.","“That fabulously wealthy Saurian was right!”"
"Whisper","Shadows","WORLDS_COLLIDE – 265 | DARK_TIDINGS – 226","Creature","Uncommon","1.15","","0","","-0.25","","0","","0","","0.5","","5","","0","0","","","0","","0","","0","3","","0","0","destroys – 3 – anyHouse | elusive – 3 – anyHouse","","THIEF | ELF","Elusive. Action: Lose 1. If you do, destroy a creature.","”You like to pretend assassins don’t exist—until you need us.”"
"Cement Shoes","Shadows","DARK_TIDINGS – 227","Action","Common","1.5","","0","","1","","0","","0","","0.5","","0","","0","0","","","0","","0","","1","","","0","0","raisesTide – 3 – anyHouse | dealsDamage – 3 – anyHouse","",""," Play: Deal 2 to a creature. If this damage destroys that creature, raise the tide.","“Does this even work on pixies?”"
"Francis the ""Economist""","Shadows","MASS_MUTATION – 248 | DARK_TIDINGS – 228","Creature","Common","0.9","","-0.25","","0.25","","0","","0","","0","","5","","0","0","","","0","","0","","0","3","","0","0","skirmish – 3 – anyHouse","","THIEF | ELF","Skirmish. (When you use this creature to fight, it is dealt no damage in return.) Fight: Each player gains 1.","“It’s a win-win.”"
"Gas-Pipes Malone","Shadows","DARK_TIDINGS – 229","Creature","Common","1.5499999999999998","2.05","0.75","1.25","0","","0","","0","","0","","4","","0","0","","","0","","0","","0","3","","0","0","putsAmberOnTarget – 3 – anyHouse | goodFight – 3 – anyHouse | exalt – 3 – anyHouse","causesFighting – 3 – anyHouse | preventsDamage – 3 – house","THIEF | ELF","Before Fight: The creature Gas-Pipes Malone fights captures 1 from its own side.",""
"Hard Simpson","Shadows","DARK_TIDINGS – 230","Creature","Common","0.2","3.5","-0.25","1.25","-0.25","1.25","0","","0","","0","","3","6","0","0","","","0","","0","","0","4","","0","0","elusive – 2 – anyHouse","dealsDamage – 2 – house | raisesTide – 1 – anyHouse","THIEF | ELF","Elusive. (The first time this creature is attacked each turn, no damage is dealt.)  After Hard Simpson is dealt damage, steal 1. If the tide is low, your opponent steals 1 instead. (Hard Simpson must survive this damage.)",""
"Hobnobber","Shadows","DARK_TIDINGS – 231","Creature","Common","1.4500000000000002","2.2","0.5","1","0.25","0.5","0","","0","","0","","3","","0","0","","","0","","0","","0","3","","0","0","stealsAmber – 2 – anyHouse | goodAction – 3 – anyHouse","increasesKeyCost – 2 – anyHouse | protectsCreatures – 2 – anyHouse | uses – 2 – anyHouse","THIEF | ELF","Action: If your opponent has 6 or more, steal 2.","“He’ll never miss it.”"
"Hornswoggle","Shadows","DARK_TIDINGS – 232","Action","Common","1.75","","0","","1","","0","","0.5","","0","","0","","0","0","","","0","","0.25","","1","","","0","0","uses – 3 – anyHouse","","","Play: Use an enemy artifact as if it were yours.","“The nice thing about juggling knives is that it gets their attention whether you’re good at it or not.”"
"Jackie Tar","Shadows","DARK_TIDINGS – 233","Creature","Common","1.1","1.6","0","","0","","0","","0","","0.5","1","2","","0","0","","","0","","0","","0","2","","0","0","elusive – 3 – anyHouse | dealsDamage – 3 – anyHouse","protectsFromEffects – 2 – anyHouse | causesReaping – 2 – anyHouse | raisesTide – 2 – anyHouse","THIEF | ELF","Elusive. (The first time this creature is attacked each turn, no damage is dealt.)  Reap: Deal 1 to a creature. If the tide is high, deal 6 to a creature instead.",""
"Kerwollop","Shadows","DARK_TIDINGS – 234","Action","Common","0.95","1.95","0","","0.5","1.5","0","","0","","0.75","","-3","","0","0","","","0","","0","","0","","","0","0","damagesMultiple – 3 – anyHouse | dealsDamage – 3 – anyHouse","distributableDamage – 3 – anyHouse | dealsDamage – 1 – anyHouse | any – 2 – house","","Play: Deal 1 to each creature. Gain 1 for each creature destroyed this way.",""
"Loot or Pillage","Shadows","DARK_TIDINGS – 235","Action","Common","2.25","","1.5","","0.75","","0","","0","","0","","0","","0","0","","","0","","0","","0","","","0","0","stealsAmber – 3 – anyHouse | capturesAmber – 2 – anyHouse | putsAmberOnTarget – 3 – anyHouse","","","Play: Choose one: • Steal 1. • A friendly creature captures 3.",""
